class_id,test_samples,correct,accuracy
0,20,20,1.0
1,40,38,0.95
2,20,11,0.55
3,36,19,0.5277777777777778
4,45,37,0.8222222222222222
5,25,23,0.92
6,20,20,1.0
7,65,65,1.0
8,26,25,0.9615384615384616
9,25,24,0.96
10,67,48,0.7164179104477612
11,67,63,0.9402985074626866
12,29,28,0.9655172413793104
13,28,28,1.0
14,29,28,0.9655172413793104
15,21,19,0.9047619047619048
16,65,64,0.9846153846153847
17,62,58,0.9354838709677419
18,29,25,0.8620689655172413
19,36,35,0.9722222222222222
20,20,19,0.95
21,39,36,0.9230769230769231
22,71,61,0.8591549295774648
23,22,21,0.9545454545454546
24,21,21,1.0
25,21,18,0.8571428571428571
26,20,20,1.0
27,46,45,0.9782608695652174
28,58,56,0.9655172413793104
29,65,49,0.7538461538461538
30,32,28,0.875
31,25,21,0.84
32,26,23,0.8846153846153846
33,20,19,0.95
34,23,23,1.0
35,55,53,0.9636363636363636
36,88,86,0.9772727272727273
37,36,35,0.9722222222222222
38,21,17,0.8095238095238095
39,47,41,0.8723404255319149
40,107,103,0.9626168224299065
41,39,35,0.8974358974358975
42,110,76,0.6909090909090909
43,73,69,0.9452054794520548
44,20,20,1.0
45,176,167,0.9488636363636364
46,47,47,1.0
47,51,49,0.9607843137254902
48,29,29,1.0
49,72,69,0.9583333333333334
50,238,138,0.5798319327731093
51,65,65,1.0
52,73,48,0.6575342465753424
53,41,41,1.0
54,51,48,0.9411764705882353
55,89,88,0.9887640449438202
56,47,45,0.9574468085106383
57,94,92,0.9787234042553191
58,47,47,1.0
59,89,89,1.0
60,30,29,0.9666666666666667
61,35,31,0.8857142857142857
62,34,34,1.0
63,32,32,1.0
64,82,74,0.9024390243902439
65,41,41,1.0
66,22,18,0.8181818181818182
67,34,34,1.0
68,34,34,1.0
69,42,42,1.0
70,58,57,0.9827586206896551
71,76,62,0.8157894736842105
72,174,163,0.9367816091954023
73,151,120,0.7947019867549668
74,100,96,0.96
75,87,78,0.896551724137931
76,231,220,0.9523809523809523
77,117,104,0.8888888888888888
78,21,21,1.0
79,85,84,0.9882352941176471
80,146,146,1.0
81,92,84,0.9130434782608695
82,111,78,0.7027027027027027
83,66,45,0.6818181818181818
84,43,41,0.9534883720930233
85,38,35,0.9210526315789473
86,43,39,0.9069767441860465
87,134,115,0.8582089552238806
88,164,150,0.9146341463414634
89,62,45,0.7258064516129032
90,56,52,0.9285714285714286
91,46,45,0.9782608695652174
92,26,23,0.8846153846153846
93,142,136,0.9577464788732394
94,108,101,0.9351851851851852
95,71,57,0.8028169014084507
96,46,39,0.8478260869565217
97,62,58,0.9354838709677419
98,43,41,0.9534883720930233
99,29,29,1.0
100,38,36,0.9473684210526315
101,28,28,1.0
